model	Recall	nDCG
NGCF_seed=42_e=400_bs=256_lr=0$11702456573956464_factors=64_l_w=0$01260651335934907_weight_size=64_node_dropout=0$1-0$2-0$3-0$45-0$5_message_dropout=0$1-0$2-0$3-0$45-0$5_n_fold=5	0.0005246319302980883	0.000494157836984282
NGCF_seed=42_e=400_bs=256_lr=0$00031776552205766285_factors=64_l_w=0$010996280532604513_weight_size=64_node_dropout=0$1-0$2-0$3-0$45-0$5_message_dropout=0$1-0$2-0$3-0$45-0$5_n_fold=5	0.00016534423999037062	0.00019797828774837438
NGCF_seed=42_e=300_bs=256_lr=5$430176381161492e-05_factors=64_l_w=2$335098082717585e-05_weight_size=64_node_dropout=0$1-0$2-0$3-0$45-0$5_message_dropout=0$1-0$2-0$3-0$45-0$5_n_fold=5	0.00016534423999037062	0.00019797828774837438
NGCF_seed=42_e=300_bs=256_lr=0$001044451676430151_factors=64_l_w=0$00011510271956904305_weight_size=64_node_dropout=0$1-0$2-0$3-0$45-0$5_message_dropout=0$1-0$2-0$3-0$45-0$5_n_fold=5	0.00016534423999037062	0.00019797828774837438
NGCF_seed=42_e=200_bs=256_lr=0$003269781808596937_factors=64_l_w=3$042448449498182e-05_weight_size=64_node_dropout=0$1-0$2-0$3-0$45-0$5_message_dropout=0$1-0$2-0$3-0$45-0$5_n_fold=5	0.00016534423999037062	0.00019797828774837438
NGCF_seed=42_e=200_bs=256_lr=0$059379536230861014_factors=64_l_w=6$384406676490417e-05_weight_size=64_node_dropout=0$1-0$2-0$3-0$45-0$5_message_dropout=0$1-0$2-0$3-0$45-0$5_n_fold=5	0.00031889658648997946	0.00040600317559344326
NGCF_seed=42_e=100_bs=256_lr=0$03128909297068618_factors=64_l_w=0$9659086370538272_weight_size=64_node_dropout=0$1-0$2-0$3-0$45-0$5_message_dropout=0$1-0$2-0$3-0$45-0$5_n_fold=5	0.00030523296250248777	0.00027142163954126797
NGCF_seed=42_e=300_bs=256_lr=2$096207722217206e-05_factors=64_l_w=0$14139959380056896_weight_size=64_node_dropout=0$1-0$2-0$3-0$45-0$5_message_dropout=0$1-0$2-0$3-0$45-0$5_n_fold=5	0.0005787105200143792	0.0006245493968199572
NGCF_seed=42_e=100_bs=256_lr=0$041351571452961595_factors=64_l_w=0$07192901084136044_weight_size=64_node_dropout=0$1-0$2-0$3-0$45-0$5_message_dropout=0$1-0$2-0$3-0$45-0$5_n_fold=5	0.00033085217211724696	0.0002952313903246856
NGCF_seed=42_e=200_bs=256_lr=0$0004218537982055257_factors=64_l_w=0$0025280510730854543_weight_size=64_node_dropout=0$1-0$2-0$3-0$45-0$5_message_dropout=0$1-0$2-0$3-0$45-0$5_n_fold=5	0.00016534423999037062	0.00019797828774837438
